date, pm25, pm10, no2, latitude, longitude
01/03/2021,48,50,7,59.33716532,18.03549986
02/03/2021,23, , ,59.33716532,18.03549986
01/02/2021,29,10,17,59.33716532,18.03549986
02/02/2021,31,9,9,59.33716532,18.03549986
03/02/2021,25,8,12,59.33716532,18.03549986
04/02/2021,24,9,18,59.33716532,18.03549986
05/02/2021,30,8,11,59.33716532,18.03549986
06/02/2021,23,6,9,59.33716532,18.03549986
07/02/2021,15,4,14,59.33716532,18.03549986
08/02/2021,12,4,9,59.33716532,18.03549986
09/02/2021,11,8,18,59.33716532,18.03549986
10/02/2021,20,6,17,59.33716532,18.03549986
11/02/2021,18,7,20,59.33716532,18.03549986
12/02/2021,22,8,10,59.33716532,18.03549986
13/02/2021,18,7,11,59.33716532,18.03549986
14/02/2021,15,9,14,59.33716532,18.03549986
15/02/2021,20,9,15,59.33716532,18.03549986
16/02/2021,18,4,4,59.33716532,18.03549986
17/02/2021,10,6,5,59.33716532,18.03549986
18/02/2021,17,24,5,59.33716532,18.03549986
19/02/2021,65,17,5,59.33716532,18.03549986
20/02/2021,46,14,7,59.33716532,18.03549986
21/02/2021,37,19,9,59.33716532,18.03549986
22/02/2021,49,21,8,59.33716532,18.03549986
23/02/2021,55,15,7,59.33716532,18.03549986
24/02/2021,45,16,4,59.33716532,18.03549986
25/02/2021,26,52,6,59.33716532,18.03549986
26/02/2021,36,58,5,59.33716532,18.03549986
27/02/2021,30,63,7,59.33716532,18.03549986
28/02/2021,40,78,10,59.33716532,18.03549986
12/01/2021,14,6,11,59.33716532,18.03549986
13/01/2021,16,9,9,59.33716532,18.03549986
14/01/2021,28,7,13,59.33716532,18.03549986
15/01/2021,20,5,6,59.33716532,18.03549986
16/01/2021,16,5,6,59.33716532,18.03549986
17/01/2021,18,9,12,59.33716532,18.03549986
18/01/2021,26,14,10,59.33716532,18.03549986
19/01/2021,42,19,5,59.33716532,18.03549986
20/01/2021,54,8,6,59.33716532,18.03549986
21/01/2021,24,6,5,59.33716532,18.03549986
22/01/2021,15, , ,59.33716532,18.03549986
24/01/2021,32,6,12,59.33716532,18.03549986
25/01/2021,16,3,9,59.33716532,18.03549986
26/01/2021,9,4,12,59.33716532,18.03549986
27/01/2021,13,7,13,59.33716532,18.03549986
28/01/2021,20,7,8,59.33716532,18.03549986
29/01/2021,21, , ,59.33716532,18.03549986
01/10/2020,41,56,5,59.33716532,18.03549986
02/10/2020,90,50,3,59.33716532,18.03549986
03/10/2020,87,40,1,59.33716532,18.03549986
04/10/2020,79,12,4,59.33716532,18.03549986
05/10/2020,29,11,5,59.33716532,18.03549986
06/10/2020,27,8,5,59.33716532,18.03549986
07/10/2020,20,7,5,59.33716532,18.03549986
08/10/2020,17,6,6,59.33716532,18.03549986
09/10/2020,13,7,4,59.33716532,18.03549986
10/10/2020,16,4,4,59.33716532,18.03549986
11/10/2020,10,6,7,59.33716532,18.03549986
12/10/2020,7,6,8,59.33716532,18.03549986
13/10/2020,9,4,6,59.33716532,18.03549986
14/10/2020,7,6,7,59.33716532,18.03549986
15/10/2020,9,5,13,59.33716532,18.03549986
16/10/2020,12,6,6,59.33716532,18.03549986
17/10/2020,13,4,4,59.33716532,18.03549986
18/10/2020,7,7,10,59.33716532,18.03549986
19/10/2020,8,11,12,59.33716532,18.03549986
